Kimberlys_Original_Work,Influence_Type,New_Artist,New_Song,Weight
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Kimberly Snyder,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Joshua Herring,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Rachel Jackson,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Laura Lindsey,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Sarah Young,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Nancy Gonzalez,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Valerie Phillips,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,John Gallagher,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Denise White,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Cody Turner,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Sarah Lee,Radiant Silhouette,1
"Silent Hooves, Whispering Forest",LyricalReferenceTo,Twilight Riders,Radiant Silhouette,1
Fair Exchange,LyricalReferenceTo,Kimberly Snyder,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Gerald Mullins,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Andrew Montgomery,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Kelly Stewart,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Erica Walton,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Matthew Yoder,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Sonic Renegade,Immovable Love,1
Fair Exchange,LyricalReferenceTo,Liquid Prism,Immovable Love,1
Timelines Converge,InStyleOf,Kimberly Snyder,Immovable Love,1
Timelines Converge,InStyleOf,Gerald Mullins,Immovable Love,1
Timelines Converge,InStyleOf,Andrew Montgomery,Immovable Love,1
Timelines Converge,InStyleOf,Kelly Stewart,Immovable Love,1
Timelines Converge,InStyleOf,Erica Walton,Immovable Love,1
Timelines Converge,InStyleOf,Matthew Yoder,Immovable Love,1
Timelines Converge,InStyleOf,Sonic Renegade,Immovable Love,1
Timelines Converge,InStyleOf,Liquid Prism,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Kimberly Snyder,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Gerald Mullins,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Andrew Montgomery,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Kelly Stewart,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Erica Walton,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Matthew Yoder,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Sonic Renegade,Immovable Love,1
Scarves and Streetlight Shadows,CoverOf,Liquid Prism,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Kimberly Snyder,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Gerald Mullins,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Andrew Montgomery,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Kelly Stewart,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Erica Walton,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Matthew Yoder,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Sonic Renegade,Immovable Love,1
Ethereal Afterthoughts,InterpolatesFrom,Liquid Prism,Immovable Love,1
Timelines Converge,CoverOf,Kimberly Snyder,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Joshua Herring,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Gerald Mullins,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Erica Walton,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Matthew Yoder,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Nichole Martinez,Ethereal Afterthoughts,1
Timelines Converge,CoverOf,Sonic Renegade,Ethereal Afterthoughts,1
Fair Exchange,InterpolatesFrom,Catalina Borja Barbero,Symphonic Ecosystem,1
Fair Exchange,InterpolatesFrom,Graciana Sacristán Saura,Symphonic Ecosystem,1
Fair Exchange,InterpolatesFrom,Rosenda Reyes Salazar,Symphonic Ecosystem,1
Beethoven's Unheard Conversation,LyricalReferenceTo,Catalina Borja Barbero,Symphonic Ecosystem,1
Beethoven's Unheard Conversation,LyricalReferenceTo,Graciana Sacristán Saura,Symphonic Ecosystem,1
Beethoven's Unheard Conversation,LyricalReferenceTo,Rosenda Reyes Salazar,Symphonic Ecosystem,1
Soft Love's First Light,InterpolatesFrom,Catalina Borja Barbero,Symphonic Ecosystem,1
Soft Love's First Light,InterpolatesFrom,Graciana Sacristán Saura,Symphonic Ecosystem,1
Soft Love's First Light,InterpolatesFrom,Rosenda Reyes Salazar,Symphonic Ecosystem,1
Timelines Converge,LyricalReferenceTo,Kimberly Snyder,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Gerald Mullins,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Thomas Weber,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Rachel Jackson,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,John Anderson,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Colleen Velazquez,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Jeffrey Munoz PhD,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Amber Bates,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Thomas Salinas,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Robert Garcia,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Cody Patterson,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Ryan Austin,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Sonic Renegade,Carols of the Silent Night,1
Timelines Converge,LyricalReferenceTo,Luminous Fracture,Carols of the Silent Night,1
Timelines Converge,CoverOf,Jing Ren,Whispers of Innocence,1
Timelines Converge,CoverOf,Ping Mao,Whispers of Innocence,1
Timelines Converge,CoverOf,Tao Yan,Whispers of Innocence,1
Fair Exchange,InStyleOf,Helmtrud Mälzer-Paffrath,Quick Change,1
Carols of the Silent Night,InterpolatesFrom,Kimberly Snyder,"Silent Hooves, Whispering Forest",1
Carols of the Silent Night,InterpolatesFrom,Angelina Sölzer,"Silent Hooves, Whispering Forest",1
Carols of the Silent Night,InterpolatesFrom,Liquid Vortex,"Silent Hooves, Whispering Forest",1
Timelines Converge,DirectlySamples,Kimberly Snyder,"Silent Hooves, Whispering Forest",1
Timelines Converge,DirectlySamples,Angelina Sölzer,"Silent Hooves, Whispering Forest",1
Timelines Converge,DirectlySamples,Liquid Vortex,"Silent Hooves, Whispering Forest",1
Tanah Kita Bangkit,LyricalReferenceTo,Kimberly Snyder,"Silent Hooves, Whispering Forest",1
Tanah Kita Bangkit,LyricalReferenceTo,Angelina Sölzer,"Silent Hooves, Whispering Forest",1
Tanah Kita Bangkit,LyricalReferenceTo,Liquid Vortex,"Silent Hooves, Whispering Forest",1
Carols of the Silent Night,LyricalReferenceTo,Kimberly Snyder,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Mike Robinson,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Rachel Jackson,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,John Anderson,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Robert Garcia,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Ryan Austin,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Adam Arnold,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Carlos Townsend,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Norma Huff,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Carols of the Silent Night,LyricalReferenceTo,Luminous Fracture,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Kimberly Snyder,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Mike Robinson,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Rachel Jackson,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,John Anderson,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Robert Garcia,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Ryan Austin,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Adam Arnold,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Carlos Townsend,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Norma Huff,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Timelines Converge,CoverOf,Luminous Fracture,Maria's Obeskrivna Minnen (Maria's Unwritten Memories),1
Soft Love's First Light,LyricalReferenceTo,Rachel Jackson,Second String Soul,1
Soft Love's First Light,LyricalReferenceTo,Roy Tschentscher,Second String Soul,1
Soft Love's First Light,LyricalReferenceTo,Karl-August Beyer,Second String Soul,1
Soft Love's First Light,LyricalReferenceTo,Angelina Sölzer,Second String Soul,1
Soft Love's First Light,LyricalReferenceTo,Kristina Romero,Second String Soul,1
Soft Love's First Light,LyricalReferenceTo,Amanda Tucker,Second String Soul,1
Carols of the Silent Night,CoverOf,Rachel Jackson,Second String Soul,1
Carols of the Silent Night,CoverOf,Roy Tschentscher,Second String Soul,1
Carols of the Silent Night,CoverOf,Karl-August Beyer,Second String Soul,1
Carols of the Silent Night,CoverOf,Angelina Sölzer,Second String Soul,1
Carols of the Silent Night,CoverOf,Kristina Romero,Second String Soul,1
Carols of the Silent Night,CoverOf,Amanda Tucker,Second String Soul,1
Carols of the Silent Night,CoverOf,Kimberly Snyder,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Gerald Mullins,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Kelly Stewart,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Rachel Jackson,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Jason Jordan,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Denise White,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Roy Tschentscher,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Brandon Griffith,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Sonic Renegade,Beethoven's Unheard Conversation,1
Carols of the Silent Night,CoverOf,Twilight Riders,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Kimberly Snyder,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Gerald Mullins,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Kelly Stewart,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Rachel Jackson,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Jason Jordan,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Denise White,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Roy Tschentscher,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Brandon Griffith,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Sonic Renegade,Beethoven's Unheard Conversation,1
Soft Love's First Light,InStyleOf,Twilight Riders,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Kimberly Snyder,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Gerald Mullins,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Kelly Stewart,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Rachel Jackson,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Jason Jordan,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Denise White,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Roy Tschentscher,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Brandon Griffith,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Sonic Renegade,Beethoven's Unheard Conversation,1
Tanah Kita Bangkit,CoverOf,Twilight Riders,Beethoven's Unheard Conversation,1
Fair Exchange,CoverOf,Lindsay Williams,The Drover's Lament,1
Fair Exchange,CoverOf,Vanessa King,The Drover's Lament,1
Fair Exchange,CoverOf,Emily Nash,The Drover's Lament,1
Ethereal Afterthoughts,InStyleOf,Kimberly Snyder,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Joshua Herring,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Gerald Mullins,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Kelly Stewart,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Erica Walton,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Matthew Yoder,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Colleen Frank PhD,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Sonic Renegade,Sovereign's Whisper,1
Ethereal Afterthoughts,InStyleOf,Liquid Prism,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Kimberly Snyder,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Joshua Herring,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Gerald Mullins,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Kelly Stewart,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Erica Walton,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Matthew Yoder,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Colleen Frank PhD,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Sonic Renegade,Sovereign's Whisper,1
Stones of the Holy City,InStyleOf,Liquid Prism,Sovereign's Whisper,1
Timelines Converge,LyricalReferenceTo,Kimberly Snyder,Sovereign's Whisper,1
Timelines Converge,LyricalReferenceTo,Joshua Herring,Sovereign's Whisper,1
Timelines Converge,LyricalReferenceTo,Gerald Mullins,Sovereign's Whisper,1
Timelines Converge,LyricalReferenceTo,Kelly Stewart,Sovereign's Whisper,1
Timelines Converge,LyricalReferenceTo,Erica Walton,Sovereign's Whisper,1
Timelines Converge,LyricalReferenceTo,Matthew Yoder,Sovereign's Whisper,1
